usuario,texto,entidade_mencionada
13c63d6c-e94d-4b8b-829b-3a6f523ac131,bora de minas coders day,Minas
13c63d6c-e94d-4b8b-829b-3a6f523ac131,bora de minas coders day,Bora
13c63d6c-e94d-4b8b-829b-3a6f523ac131,qual shampoo o a ana usa,Ixi
7cf13434-76d6-4046-96fd-1cfd9d429282,abertura muito boa ixi,Ixi
7cf13434-76d6-4046-96fd-1cfd9d429282,abertura muito boa ixi,Abertura
b843c3db-fc8f-45a6-8322-19b87391fa20,amei a decoração do auditório,Decoracao
b843c3db-fc8f-45a6-8322-19b87391fa20,amei a decoração do auditório,Auditorio
13c63d6c-e94d-4b8b-829b-3a6f523ac131,ansioso para os sorteios,Ixi
b843c3db-fc8f-45a6-8322-19b87391fa20,"vamos para mais um dia maravilhoso, comemorando mais um ano com o aumento das mulheres na computação",Mulheres
b843c3db-fc8f-45a6-8322-19b87391fa20,"vamos para mais um dia maravilhoso, comemorando mais um ano com o aumento das mulheres na computação",Aumento
b843c3db-fc8f-45a6-8322-19b87391fa20,"vamos para mais um dia maravilhoso, comemorando mais um ano com o aumento das mulheres na computação",Computacao
b843c3db-fc8f-45a6-8322-19b87391fa20,por mais anos assim,Anos
b843c3db-fc8f-45a6-8322-19b87391fa20,nos preparar para um dia com palestras incríveis,Palestras
b843c3db-fc8f-45a6-8322-19b87391fa20,super importantes,Super
08101ce6-e4af-4e12-81d5-87afcafc4b3b,go go minas coders,Minas
08101ce6-e4af-4e12-81d5-87afcafc4b3b,tomara que não esqueçam o izadora,Ixi
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,minascoders melhor programa da ufv,Minas
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,minascoders melhor programa da ufv,Ufv
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,minascoders melhor programa da ufv,Projeto
cd9a5b5a-0583-4590-a133-863647e24ed2,melhor evento da ufv >>>,Ufv
34d7ba0b-7b62-4439-b143-d7dd24797376,minas day,Minas
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,respondam o formulário pro poc da aymê,Apoio
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,respondam o formulário pro poc da aymê,Ayme
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,respondam o formulário pro poc da aymê,Poc
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,respondam o formulário pro poc da aymê,Formulario
02af807d-7123-444e-b61e-89eaf92be60f,minas coders,Minas
84fb43ff-f2ca-4b32-b090-49467d8ae7a0,quero coffee break,Break
43aca24c-d788-497e-8521-06df728eeaf8,muito animado pro minascoders day,Minas
cd9a5b5a-0583-4590-a133-863647e24ed2,"essa blusa nova tá tão linda, queria ter pedido uma ✋🏻😔",Ixi
cd9a5b5a-0583-4590-a133-863647e24ed2,muito bom saber de todo reconhecimento,Reconhecimento
cd9a5b5a-0583-4590-a133-863647e24ed2,muito bom saber de todo reconhecimento,Apresentacao
cd9a5b5a-0583-4590-a133-863647e24ed2,apoio que o mc tá tendo,Apoio
50a1eb8e-50fb-4cc4-b79b-6b4b2a4a8c61,altas expectativas para o minas coders day,Minas
50a1eb8e-50fb-4cc4-b79b-6b4b2a4a8c61,altas expectativas para o minas coders day,Super
12c8e1ec-c662-415a-b106-b64ccb7ece3f,a dinâmica de apresentação de projetos é muito legal para vermos a evolução do projeto,Evolucao
12c8e1ec-c662-415a-b106-b64ccb7ece3f,a dinâmica de apresentação de projetos é muito legal para vermos a evolução do projeto,Projeto
12c8e1ec-c662-415a-b106-b64ccb7ece3f,a dinâmica de apresentação de projetos é muito legal para vermos a evolução do projeto,Apresentacao
12c8e1ec-c662-415a-b106-b64ccb7ece3f,a dinâmica de apresentação de projetos é muito legal para vermos a evolução do projeto,Dinamica
dc5abacc-859f-42c1-99d1-017b4401bcb6,vai minascoders,Minas
dc5abacc-859f-42c1-99d1-017b4401bcb6,as meninas do highschool minas arrasam,Minas
dc5abacc-859f-42c1-99d1-017b4401bcb6,as meninas do highschool minas arrasam,Mulheres
dc5abacc-859f-42c1-99d1-017b4401bcb6,as meninas do highschool minas arrasam,Highschool
5124c428-53ee-4ec7-a2e4-450adc2fddf8,sexteto mereceu muito,Sexteto
